zone,food_category,day_of_week,hour,month,is_weekend,is_evening,is_morning,zone_ngos_active,listings_in_zone,avg_distance_km,demand_kg,urgency_score,claimed_within_2hrs
Central Delhi,Dairy,4,8,11,0,0,1,3,4,6.5,9.9,0.5,1
East Delhi,Fruits & Vegetables,5,10,9,1,0,1,11,3,11.0,19.1,0.76,1
Gurgaon,Bakery,3,11,9,0,0,1,6,3,4.6,5.0,0.29,1
Dwarka,Dairy,0,17,1,0,1,0,5,7,17.4,9.8,0.68,0
Dwarka,Packaged Goods,5,21,7,1,1,0,9,8,4.3,8.7,0.47,0
North Delhi,Bakery,2,7,5,0,0,1,6,3,14.4,8.8,0.52,1
Dwarka,Dairy,4,9,10,0,0,1,10,6,10.4,5.0,0.51,1
North Delhi,Rice & Grains,3,12,7,0,0,0,12,4,6.4,11.4,0.69,1
North Delhi,Packaged Goods,2,17,2,0,1,0,3,4,5.0,18.3,0.61,1
Noida,Rice & Grains,4,19,3,0,1,0,5,4,14.8,10.4,0.41,0
Noida,Dairy,2,11,6,0,0,1,6,5,11.0,21.7,0.5,0
South Delhi,Bakery,6,19,1,1,1,0,12,3,13.1,21.4,0.84,0
East Delhi,Bakery,1,16,4,0,0,0,12,7,9.6,9.4,0.51,0
Central Delhi,Rice & Grains,3,18,8,0,1,0,3,7,10.0,17.0,0.64,1
Central Delhi,Rice & Grains,2,20,8,0,1,0,2,2,13.6,19.7,0.64,1
Dwarka,Rice & Grains,5,17,2,1,1,0,8,4,17.5,14.5,0.76,0
West Delhi,Packaged Goods,2,16,5,0,0,0,11,3,10.8,5.0,0.6,1
Dwarka,Fruits & Vegetables,5,7,1,1,0,1,9,1,3.5,5.0,0.81,1
East Delhi,Packaged Goods,3,6,7,0,0,0,4,5,4.1,12.7,0.27,1
Central Delhi,Cooked Meals,5,17,5,1,1,0,12,3,2.4,29.2,0.89,1
Central Delhi,Rice & Grains,5,13,7,1,0,0,3,1,5.0,14.4,0.82,1
South Delhi,Bakery,4,13,9,0,0,0,2,1,13.0,6.1,0.82,0
South Delhi,Packaged Goods,5,10,8,1,0,1,8,2,13.6,18.5,0.93,1
South Delhi,Cooked Meals,2,17,5,0,1,0,4,3,2.6,27.0,0.64,1
North Delhi,Dairy,5,11,8,1,0,1,5,3,16.7,14.6,0.84,1
Dwarka,Bakery,0,9,3,0,0,1,11,7,7.3,5.0,0.54,0
Gurgaon,Fruits & Vegetables,6,10,4,1,0,1,3,4,10.6,9.2,0.61,1
Central Delhi,Rice & Grains,0,15,4,0,0,0,10,4,13.8,18.9,0.74,0
Central Delhi,Rice & Grains,0,13,8,0,0,0,5,8,12.0,13.5,0.81,1
South Delhi,Dairy,0,17,6,0,1,0,11,7,7.5,13.3,0.75,1
East Delhi,Packaged Goods,6,8,1,1,0,1,2,5,5.1,13.0,0.64,1
North Delhi,Packaged Goods,4,15,11,0,0,0,8,7,13.1,8.6,0.37,0
South Delhi,Rice & Grains,4,10,5,0,0,1,3,4,17.6,22.4,0.7,1
East Delhi,Dairy,2,18,10,0,1,0,12,2,6.6,10.9,0.67,0
Gurgaon,Rice & Grains,6,13,1,1,0,0,8,2,9.0,7.8,0.55,1
North Delhi,Fruits & Vegetables,5,11,2,1,0,1,4,1,4.2,8.4,0.84,1
Noida,Dairy,4,14,3,0,0,0,6,2,14.2,5.0,0.67,0
North Delhi,Fruits & Vegetables,6,19,5,1,1,0,6,2,9.7,8.7,0.94,1
Noida,Cooked Meals,3,11,6,0,0,1,3,2,5.3,12.1,0.54,1
North Delhi,Cooked Meals,6,6,4,1,0,0,7,7,16.7,16.9,0.89,1
East Delhi,Cooked Meals,4,19,4,0,1,0,8,6,6.0,16.7,0.74,1
South Delhi,Dairy,2,9,9,0,0,1,2,3,5.2,16.4,0.71,0
North Delhi,Packaged Goods,0,20,5,0,1,0,6,6,2.9,7.3,0.49,0
Dwarka,Cooked Meals,2,12,5,0,0,0,6,4,9.2,12.5,0.4,0
Dwarka,Bakery,5,13,3,1,0,0,8,1,5.3,5.0,0.74,1
Noida,Rice & Grains,6,6,6,1,0,0,12,7,15.5,13.5,0.7,1
Central Delhi,Cooked Meals,1,22,4,0,0,0,2,3,13.2,17.1,0.76,1
South Delhi,Cooked Meals,1,22,7,0,0,0,7,8,17.6,15.3,0.67,0
South Delhi,Dairy,0,22,3,0,0,0,8,2,11.3,15.4,0.59,0
North Delhi,Packaged Goods,5,10,4,1,0,1,7,7,13.1,12.8,0.53,1
Noida,Fruits & Vegetables,3,14,4,0,0,0,5,3,14.4,12.6,0.52,1
South Delhi,Bakery,0,11,8,0,0,1,8,2,10.3,14.2,0.74,1
West Delhi,Packaged Goods,2,20,5,0,1,0,3,3,14.8,16.1,0.55,0
Central Delhi,Rice & Grains,5,7,4,1,0,1,7,3,3.0,14.4,0.77,0
West Delhi,Fruits & Vegetables,3,22,1,0,0,0,6,3,2.0,5.9,0.53,0
Gurgaon,Packaged Goods,4,13,2,0,0,0,4,2,1.7,7.1,0.3,0
West Delhi,Bakery,1,18,6,0,1,0,12,2,11.1,11.1,0.42,0
Central Delhi,Cooked Meals,0,8,4,0,0,1,9,3,3.0,15.6,0.58,0
Noida,Cooked Meals,0,20,1,0,1,0,11,7,15.1,8.4,0.41,1
Gurgaon,Packaged Goods,0,18,11,0,1,0,7,4,16.5,5.0,0.48,0
Central Delhi,Fruits & Vegetables,3,10,1,0,0,1,11,4,12.2,9.3,0.91,0
Dwarka,Packaged Goods,4,21,1,0,1,0,8,3,8.4,9.6,0.44,1
West Delhi,Rice & Grains,6,6,7,1,0,0,7,8,10.5,10.8,0.84,0
Dwarka,Fruits & Vegetables,4,22,6,0,0,0,4,1,6.8,5.4,0.51,0
West Delhi,Cooked Meals,6,14,1,1,0,0,9,6,14.2,29.6,0.79,0
West Delhi,Bakery,0,13,11,0,0,0,10,1,14.1,13.5,0.42,1
West Delhi,Dairy,6,18,6,1,1,0,4,3,5.4,17.3,0.92,0
Noida,Rice & Grains,5,17,10,1,1,0,7,3,10.8,13.2,0.9,1
West Delhi,Packaged Goods,4,15,3,0,0,0,3,1,5.3,9.5,0.39,0
West Delhi,Cooked Meals,4,21,1,0,1,0,11,4,14.8,18.8,0.7,1
Noida,Rice & Grains,1,16,1,0,0,0,11,3,14.3,12.1,0.36,1
Noida,Cooked Meals,2,18,10,0,1,0,6,6,3.8,9.4,0.53,1
East Delhi,Rice & Grains,3,21,11,0,1,0,10,6,5.2,14.8,0.66,1
East Delhi,Packaged Goods,2,15,3,0,0,0,2,7,15.5,7.4,0.34,1
North Delhi,Bakery,4,16,10,0,0,0,11,2,17.0,11.0,0.61,1
East Delhi,Fruits & Vegetables,5,8,4,1,0,1,7,3,12.0,17.8,0.86,1
South Delhi,Rice & Grains,5,16,8,1,0,0,5,4,12.9,26.8,0.97,1
Noida,Fruits & Vegetables,6,9,12,1,0,1,8,8,13.6,11.2,0.51,1
East Delhi,Packaged Goods,3,18,6,0,1,0,3,8,14.5,10.6,0.5,0
West Delhi,Bakery,3,8,1,0,0,1,7,5,17.2,9.9,0.37,1
South Delhi,Fruits & Vegetables,1,18,3,0,1,0,10,2,7.1,12.1,0.78,0
Dwarka,Rice & Grains,0,19,11,0,1,0,8,3,2.4,12.7,0.61,1
Noida,Bakery,1,19,12,0,1,0,10,5,12.4,8.6,0.45,0
Central Delhi,Bakery,0,7,7,0,0,1,9,3,2.4,16.8,0.57,0
North Delhi,Packaged Goods,0,15,11,0,0,0,9,4,3.1,7.5,0.45,0
West Delhi,Bakery,5,15,2,1,0,0,3,5,14.5,8.7,0.66,1
Dwarka,Packaged Goods,5,14,2,1,0,0,8,3,7.6,8.8,0.58,0
Gurgaon,Fruits & Vegetables,1,20,1,0,1,0,9,5,5.2,15.1,0.36,1
Central Delhi,Dairy,0,10,12,0,0,1,3,6,14.8,14.0,0.62,0
Gurgaon,Dairy,1,7,7,0,0,1,8,8,10.9,15.2,0.48,0
West Delhi,Packaged Goods,2,8,7,0,0,1,2,3,3.5,11.8,0.3,0
Dwarka,Bakery,1,12,4,0,0,0,8,2,17.8,8.5,0.56,1
Gurgaon,Bakery,6,10,10,1,0,1,3,2,7.9,9.4,0.73,1
Gurgaon,Dairy,2,14,9,0,0,0,2,7,3.4,5.0,0.61,0
East Delhi,Bakery,4,9,2,0,0,1,3,5,15.8,20.8,0.48,0
Noida,Packaged Goods,2,18,11,0,1,0,11,8,2.1,5.0,0.55,0
Central Delhi,Packaged Goods,1,18,1,0,1,0,7,4,2.3,18.9,0.52,1
Dwarka,Fruits & Vegetables,2,6,6,0,0,0,6,5,6.1,6.1,0.47,0
Dwarka,Rice & Grains,5,9,4,1,0,1,9,6,5.9,8.5,0.65,1
Gurgaon,Dairy,5,8,4,1,0,1,8,8,14.0,6.1,0.59,1
Noida,Cooked Meals,4,11,2,0,0,1,10,7,3.7,10.8,0.57,0
North Delhi,Bakery,1,12,1,0,0,0,9,1,16.6,16.9,0.45,1
West Delhi,Fruits & Vegetables,2,20,9,0,1,0,3,1,5.5,16.6,0.5,1
Dwarka,Dairy,3,11,8,0,0,1,7,6,4.2,9.4,0.58,0
Central Delhi,Rice & Grains,6,8,5,1,0,1,2,3,15.6,17.9,0.93,1
West Delhi,Bakery,5,13,11,1,0,0,12,7,10.0,11.8,0.74,1
North Delhi,Packaged Goods,1,11,10,0,0,1,5,5,11.5,9.1,0.75,0
Central Delhi,Rice & Grains,5,14,7,1,0,0,7,8,5.7,18.2,0.84,0
Dwarka,Fruits & Vegetables,5,22,10,1,0,0,3,1,9.9,8.4,0.64,1
Noida,Dairy,5,15,5,1,0,0,9,2,7.0,8.0,0.81,0
Central Delhi,Rice & Grains,2,14,5,0,0,0,12,5,4.6,22.4,0.64,0
West Delhi,Cooked Meals,6,18,11,1,1,0,4,1,12.3,17.7,0.85,1
Central Delhi,Fruits & Vegetables,3,18,7,0,1,0,11,4,7.2,13.8,0.71,0
West Delhi,Rice & Grains,4,21,11,0,1,0,6,3,15.4,15.1,0.42,1
East Delhi,Fruits & Vegetables,0,21,3,0,1,0,10,3,17.1,20.4,0.73,0
Noida,Rice & Grains,0,13,6,0,0,0,6,7,14.5,5.9,0.48,1
Noida,Fruits & Vegetables,2,15,8,0,0,0,9,1,15.8,8.9,0.51,0
South Delhi,Packaged Goods,1,22,2,0,0,0,8,5,8.3,12.3,0.8,0
East Delhi,Bakery,1,16,7,0,0,0,9,3,6.7,7.6,0.44,0
East Delhi,Cooked Meals,3,16,11,0,0,0,7,1,1.6,6.1,0.55,0
Central Delhi,Bakery,6,11,10,1,0,1,9,2,3.6,16.9,1.0,0
Gurgaon,Rice & Grains,3,18,7,0,1,0,8,1,2.1,7.9,0.52,0
West Delhi,Rice & Grains,2,6,6,0,0,0,10,4,1.8,10.7,0.69,0
North Delhi,Rice & Grains,5,13,4,1,0,0,7,5,3.6,30.3,0.77,0
Gurgaon,Dairy,4,15,3,0,0,0,2,5,17.1,5.0,0.57,1
Dwarka,Rice & Grains,4,22,6,0,0,0,12,3,7.2,13.3,0.73,0
Dwarka,Fruits & Vegetables,6,12,3,1,0,0,8,1,5.3,14.5,0.66,0
East Delhi,Bakery,5,6,10,1,0,0,3,6,13.2,14.8,0.83,1
North Delhi,Packaged Goods,5,14,9,1,0,0,11,1,12.4,13.9,0.75,0
North Delhi,Cooked Meals,5,9,7,1,0,1,3,5,9.3,26.9,0.97,1
East Delhi,Bakery,5,6,5,1,0,0,3,5,11.8,18.7,0.78,1
East Delhi,Packaged Goods,6,9,9,1,0,1,3,5,3.4,9.2,0.69,0
South Delhi,Packaged Goods,1,12,5,0,0,0,5,6,13.1,15.0,0.52,0
Central Delhi,Bakery,0,21,4,0,1,0,9,6,5.4,16.2,0.58,0
North Delhi,Rice & Grains,0,9,10,0,0,1,4,2,14.4,14.0,0.75,0
South Delhi,Rice & Grains,5,9,5,1,0,1,9,5,5.9,25.9,0.92,1
North Delhi,Cooked Meals,6,11,1,1,0,1,7,6,8.5,14.8,0.92,0
South Delhi,Cooked Meals,6,7,1,1,0,1,12,3,6.9,30.9,1.0,0
Dwarka,Dairy,2,8,6,0,0,1,4,2,8.1,8.1,0.54,0
Dwarka,Fruits & Vegetables,6,18,12,1,1,0,8,3,3.4,16.3,0.86,0
North Delhi,Bakery,0,19,10,0,1,0,11,8,4.5,11.4,0.57,1
Gurgaon,Fruits & Vegetables,4,6,11,0,0,0,4,8,16.7,9.8,0.47,0
South Delhi,Packaged Goods,3,7,2,0,0,1,7,1,13.1,7.7,0.62,1
West Delhi,Rice & Grains,6,16,9,1,0,0,11,2,8.6,20.5,0.67,1
West Delhi,Packaged Goods,2,18,3,0,1,0,10,1,1.7,8.5,0.38,0
East Delhi,Dairy,6,21,8,1,1,0,3,8,6.8,24.9,0.61,0
Noida,Fruits & Vegetables,0,22,4,0,0,0,8,7,15.0,5.0,0.51,0
South Delhi,Packaged Goods,3,20,2,0,1,0,9,6,3.5,19.5,0.59,0
Dwarka,Rice & Grains,5,6,2,1,0,0,2,1,15.1,11.1,0.93,1
Central Delhi,Dairy,4,12,11,0,0,0,7,6,15.1,6.4,0.45,0
West Delhi,Packaged Goods,2,21,12,0,1,0,9,2,3.1,10.0,0.4,0
West Delhi,Cooked Meals,2,17,11,0,1,0,6,6,13.1,10.5,0.67,0
North Delhi,Bakery,3,10,12,0,0,1,8,2,5.7,11.2,0.49,0
West Delhi,Bakery,0,18,4,0,1,0,5,6,3.3,5.0,0.58,1
Gurgaon,Cooked Meals,5,9,8,1,0,1,11,3,17.4,17.1,0.72,1
North Delhi,Dairy,5,7,9,1,0,1,11,8,16.8,26.5,0.68,0
East Delhi,Rice & Grains,4,11,12,0,0,1,3,7,12.3,5.2,0.53,0
Noida,Dairy,3,19,10,0,1,0,5,5,8.1,10.2,0.51,0
Noida,Fruits & Vegetables,3,10,3,0,0,1,10,5,15.4,7.0,0.51,0
Noida,Rice & Grains,5,12,4,1,0,0,6,6,16.7,6.3,0.86,1
East Delhi,Rice & Grains,5,11,9,1,0,1,12,6,13.2,17.6,0.91,1
Noida,Dairy,3,19,11,0,1,0,10,5,16.0,12.1,0.54,0
Gurgaon,Cooked Meals,4,9,1,0,0,1,2,1,4.8,12.7,0.57,0
East Delhi,Fruits & Vegetables,5,14,3,1,0,0,6,4,13.9,16.9,0.88,0
North Delhi,Fruits & Vegetables,6,20,2,1,1,0,12,4,13.7,20.1,0.85,1
Gurgaon,Bakery,4,15,12,0,0,0,8,7,8.4,5.4,0.56,0
Noida,Dairy,0,6,12,0,0,0,11,8,15.2,5.0,0.67,1
Noida,Dairy,4,12,12,0,0,0,6,8,4.4,7.8,0.35,0
South Delhi,Bakery,1,22,2,0,0,0,8,5,10.7,12.3,0.58,1
East Delhi,Bakery,4,14,1,0,0,0,4,1,4.0,12.7,0.45,1
Noida,Dairy,0,15,8,0,0,0,10,6,2.7,5.8,0.3,0
Noida,Dairy,1,11,9,0,0,1,10,3,8.4,6.5,0.25,1
Gurgaon,Cooked Meals,2,13,4,0,0,0,7,6,6.3,5.0,0.6,0
Dwarka,Dairy,6,6,2,1,0,0,9,4,16.4,16.2,0.76,0
West Delhi,Cooked Meals,5,16,7,1,0,0,3,7,5.7,12.0,0.8,0
Central Delhi,Cooked Meals,4,17,9,0,1,0,9,8,2.2,22.1,0.61,0
West Delhi,Fruits & Vegetables,4,8,2,0,0,1,10,1,11.8,17.4,0.61,1
West Delhi,Rice & Grains,5,12,11,1,0,0,3,4,10.4,14.0,0.77,1
Gurgaon,Rice & Grains,6,8,12,1,0,1,2,8,13.3,13.5,0.49,0
North Delhi,Cooked Meals,0,7,3,0,0,1,10,2,11.0,14.2,0.58,0
West Delhi,Fruits & Vegetables,3,18,8,0,1,0,8,6,1.8,6.7,0.5,0
South Delhi,Dairy,0,8,12,0,0,1,3,6,16.8,24.8,0.75,0
South Delhi,Fruits & Vegetables,6,15,10,1,0,0,9,7,8.0,16.0,0.93,1
North Delhi,Packaged Goods,1,13,3,0,0,0,10,5,17.3,14.0,0.59,0
East Delhi,Fruits & Vegetables,5,17,1,1,1,0,10,3,3.5,18.0,0.69,1
North Delhi,Dairy,4,18,9,0,1,0,3,5,5.0,18.1,0.63,1
Noida,Bakery,3,22,3,0,0,0,5,5,4.7,11.0,0.51,1
East Delhi,Rice & Grains,6,7,9,1,0,1,10,2,6.3,23.3,0.74,1
South Delhi,Fruits & Vegetables,0,12,12,0,0,0,7,6,3.6,20.1,0.69,0
West Delhi,Cooked Meals,2,8,4,0,0,1,9,6,11.7,23.6,0.53,1
Central Delhi,Rice & Grains,4,10,10,0,0,1,7,7,4.3,25.5,0.71,0
Noida,Bakery,6,13,12,1,0,0,8,5,15.4,5.8,0.6,0
East Delhi,Rice & Grains,5,16,8,1,0,0,7,5,9.5,14.8,0.84,1
South Delhi,Bakery,5,8,5,1,0,1,4,4,5.8,20.6,0.79,0
South Delhi,Rice & Grains,0,6,9,0,0,0,11,7,14.2,16.1,0.93,0
West Delhi,Cooked Meals,4,14,9,0,0,0,10,8,12.3,20.6,0.64,0
East Delhi,Fruits & Vegetables,3,13,10,0,0,0,6,3,9.2,9.9,0.56,0
South Delhi,Packaged Goods,2,22,1,0,0,0,11,3,14.0,12.1,0.5,0
East Delhi,Packaged Goods,1,11,10,0,0,1,12,3,13.6,5.9,0.31,0
Dwarka,Fruits & Vegetables,0,13,8,0,0,0,6,6,5.4,10.2,0.56,1
West Delhi,Dairy,6,17,7,1,1,0,9,1,2.2,15.1,0.9,1
Noida,Cooked Meals,5,22,11,1,0,0,6,3,7.7,7.9,0.6,0
Gurgaon,Fruits & Vegetables,4,8,9,0,0,1,5,7,7.3,8.5,0.55,1
Noida,Packaged Goods,6,21,10,1,1,0,4,8,4.2,17.5,0.55,1
South Delhi,Dairy,5,14,4,1,0,0,4,6,11.4,25.6,0.89,1
South Delhi,Rice & Grains,1,19,6,0,1,0,9,8,9.4,20.2,0.81,0
East Delhi,Rice & Grains,6,19,1,1,1,0,4,3,3.7,24.6,0.64,1
North Delhi,Dairy,1,7,3,0,0,1,4,7,11.4,19.7,0.73,1
North Delhi,Rice & Grains,5,15,2,1,0,0,11,8,15.8,14.5,0.86,1
East Delhi,Bakery,6,19,10,1,1,0,11,3,11.8,17.8,0.75,1
Central Delhi,Bakery,5,16,8,1,0,0,3,4,7.7,12.7,0.75,1
East Delhi,Cooked Meals,0,12,9,0,0,0,10,7,15.1,12.9,0.74,0
South Delhi,Bakery,3,7,9,0,0,1,3,2,9.5,15.6,0.61,1
East Delhi,Dairy,4,6,11,0,0,0,10,7,7.6,14.3,0.28,0
North Delhi,Rice & Grains,4,19,4,0,1,0,9,7,7.3,22.1,0.45,0
South Delhi,Packaged Goods,1,14,8,0,0,0,3,5,11.4,7.2,0.49,0
Gurgaon,Fruits & Vegetables,1,6,12,0,0,0,2,2,10.1,5.0,0.57,0
Gurgaon,Rice & Grains,1,16,7,0,0,0,4,7,12.3,5.8,0.53,0
Central Delhi,Fruits & Vegetables,6,19,10,1,1,0,6,7,14.0,23.0,0.9,1
Gurgaon,Dairy,6,21,3,1,1,0,10,8,5.7,13.5,0.54,1
Central Delhi,Dairy,2,18,12,0,1,0,12,2,13.8,22.7,0.62,1
Dwarka,Rice & Grains,1,9,4,0,0,1,7,1,4.2,5.0,0.5,0
North Delhi,Cooked Meals,6,10,8,1,0,1,8,2,2.6,29.1,0.94,0
West Delhi,Fruits & Vegetables,0,7,12,0,0,1,8,5,13.2,8.2,0.49,0
North Delhi,Bakery,5,21,8,1,1,0,12,5,4.7,15.0,0.95,1
West Delhi,Dairy,1,7,6,0,0,1,2,3,2.9,12.5,0.58,1
Central Delhi,Packaged Goods,2,18,7,0,1,0,10,1,13.7,16.2,0.6,1
South Delhi,Cooked Meals,4,15,12,0,0,0,11,6,7.2,16.7,0.73,0
Central Delhi,Bakery,4,12,8,0,0,0,11,1,5.8,10.7,0.62,0
Gurgaon,Dairy,0,8,9,0,0,1,3,5,16.0,11.6,0.47,0
Central Delhi,Rice & Grains,3,18,10,0,1,0,5,6,17.4,23.6,0.69,1
Dwarka,Rice & Grains,3,6,8,0,0,0,3,7,12.0,10.3,0.35,1
West Delhi,Rice & Grains,5,13,6,1,0,0,7,1,13.1,19.7,0.8,1
Central Delhi,Bakery,2,8,7,0,0,1,7,2,10.7,17.1,0.33,0
East Delhi,Packaged Goods,2,17,4,0,1,0,6,3,17.1,18.9,0.46,0
West Delhi,Packaged Goods,5,12,4,1,0,0,6,4,5.3,13.9,0.55,0
West Delhi,Dairy,2,10,2,0,0,1,3,8,11.6,13.6,0.43,1
North Delhi,Packaged Goods,2,16,8,0,0,0,11,5,9.6,5.0,0.69,0
Central Delhi,Packaged Goods,1,10,1,0,0,1,8,8,17.0,8.4,0.6,0
North Delhi,Dairy,2,18,11,0,1,0,9,2,13.0,18.9,0.64,0
Dwarka,Fruits & Vegetables,5,6,1,1,0,0,8,2,6.9,12.3,0.74,0
Central Delhi,Bakery,4,14,4,0,0,0,11,6,7.5,23.1,0.61,1
Dwarka,Packaged Goods,1,19,12,0,1,0,7,7,6.1,8.2,0.53,0
East Delhi,Dairy,1,13,2,0,0,0,5,7,15.6,15.9,0.68,0
West Delhi,Bakery,6,10,8,1,0,1,4,7,9.7,15.2,0.58,0
Noida,Packaged Goods,2,14,9,0,0,0,2,7,3.1,13.2,0.29,0
East Delhi,Cooked Meals,1,14,8,0,0,0,3,8,13.8,14.5,0.55,0
Central Delhi,Fruits & Vegetables,2,14,6,0,0,0,3,6,15.8,12.4,0.68,1
West Delhi,Dairy,4,11,5,0,0,1,12,8,14.3,12.2,0.58,1
Dwarka,Cooked Meals,3,15,8,0,0,0,4,3,12.1,19.1,0.62,0
Noida,Packaged Goods,5,18,2,1,1,0,7,4,6.7,7.9,0.7,1
Central Delhi,Rice & Grains,2,18,5,0,1,0,7,8,8.3,25.8,0.57,0
East Delhi,Cooked Meals,1,13,11,0,0,0,3,4,4.3,16.0,0.7,1
South Delhi,Cooked Meals,0,21,9,0,1,0,8,2,3.2,21.9,0.89,1
East Delhi,Cooked Meals,5,18,5,1,1,0,6,8,11.8,22.9,0.84,1
East Delhi,Dairy,6,11,1,1,0,1,7,6,15.8,15.2,0.77,1
Dwarka,Dairy,2,20,3,0,1,0,10,3,11.2,6.0,0.37,0
Dwarka,Rice & Grains,5,19,9,1,1,0,10,5,16.5,26.0,0.66,1
Dwarka,Dairy,1,8,8,0,0,1,8,5,4.1,5.0,0.3,1
North Delhi,Cooked Meals,4,10,6,0,0,1,10,1,12.8,12.2,0.52,1
Dwarka,Packaged Goods,2,6,7,0,0,0,11,4,14.6,13.7,0.53,0
Noida,Bakery,3,19,7,0,1,0,12,7,15.2,5.0,0.67,1
West Delhi,Fruits & Vegetables,0,19,11,0,1,0,11,5,6.2,16.6,0.49,1
Central Delhi,Packaged Goods,1,8,3,0,0,1,3,8,11.7,5.0,0.8,1
Central Delhi,Rice & Grains,4,21,4,0,1,0,4,1,17.5,12.9,0.53,1
North Delhi,Bakery,0,15,5,0,0,0,9,1,5.3,14.2,0.79,1
East Delhi,Cooked Meals,3,12,6,0,0,0,9,6,9.2,19.9,0.68,0
North Delhi,Fruits & Vegetables,0,10,1,0,0,1,8,2,10.5,14.5,0.66,1
East Delhi,Bakery,6,14,7,1,0,0,3,4,7.8,15.6,0.75,0
Dwarka,Bakery,5,7,4,1,0,1,3,4,9.3,11.5,0.66,1
Central Delhi,Fruits & Vegetables,1,7,12,0,0,1,10,2,5.7,10.3,0.62,0
Central Delhi,Bakery,2,7,11,0,0,1,3,4,11.9,5.0,0.61,1
Noida,Cooked Meals,1,14,10,0,0,0,5,1,17.5,5.1,0.44,1
Dwarka,Rice & Grains,4,10,6,0,0,1,5,3,9.7,11.8,0.68,0
Noida,Rice & Grains,0,7,6,0,0,1,10,2,3.6,14.5,0.36,0
West Delhi,Fruits & Vegetables,4,17,8,0,1,0,2,7,7.4,6.8,0.62,0
East Delhi,Fruits & Vegetables,0,21,12,0,1,0,6,8,4.6,7.8,0.53,1
East Delhi,Dairy,2,16,12,0,0,0,11,3,2.6,13.2,0.47,0
East Delhi,Packaged Goods,2,14,9,0,0,0,2,7,13.6,7.0,0.34,1
North Delhi,Dairy,6,17,10,1,1,0,3,7,4.6,17.4,0.82,1
Dwarka,Dairy,1,15,6,0,0,0,7,2,3.1,5.0,0.56,0
South Delhi,Cooked Meals,6,10,3,1,0,1,5,2,9.5,27.6,1.0,0
South Delhi,Cooked Meals,4,18,11,0,1,0,11,5,2.3,24.5,0.89,1
West Delhi,Dairy,5,8,1,1,0,1,5,8,16.8,15.4,0.7,0
South Delhi,Packaged Goods,6,7,6,1,0,1,8,6,14.6,14.5,0.85,1
North Delhi,Dairy,2,22,1,0,0,0,6,2,17.1,11.4,0.59,0
South Delhi,Cooked Meals,5,13,9,1,0,0,5,4,10.9,21.7,0.88,1
East Delhi,Dairy,5,19,12,1,1,0,12,6,12.6,11.9,0.94,1
Gurgaon,Cooked Meals,1,11,9,0,0,1,7,3,10.3,5.0,0.46,0
Dwarka,Fruits & Vegetables,2,16,6,0,0,0,12,7,15.1,5.0,0.59,0
Noida,Dairy,1,12,7,0,0,0,6,6,17.4,6.5,0.61,0
Dwarka,Packaged Goods,0,7,5,0,0,1,10,3,17.9,5.0,0.45,0
Central Delhi,Cooked Meals,2,13,4,0,0,0,2,5,16.7,12.8,0.94,0
East Delhi,Cooked Meals,0,20,6,0,1,0,6,6,16.2,11.0,0.66,1
West Delhi,Bakery,2,15,2,0,0,0,11,4,13.6,11.0,0.54,0
Noida,Packaged Goods,1,21,12,0,1,0,3,5,2.1,5.6,0.39,0
Gurgaon,Cooked Meals,6,7,6,1,0,1,8,7,16.8,14.1,0.71,1
South Delhi,Bakery,5,6,11,1,0,0,8,1,6.5,21.2,1.0,0
North Delhi,Fruits & Vegetables,4,10,6,0,0,1,5,3,2.3,8.8,0.44,0
Gurgaon,Packaged Goods,6,22,2,1,0,0,6,7,3.9,5.9,0.83,1
Noida,Cooked Meals,3,7,9,0,0,1,3,7,9.8,7.0,0.71,0
East Delhi,Bakery,3,12,8,0,0,0,11,4,10.8,16.8,0.46,0
West Delhi,Bakery,0,14,7,0,0,0,11,2,3.4,10.6,0.66,1
Gurgaon,Packaged Goods,2,17,4,0,1,0,11,1,14.2,5.0,0.35,1
East Delhi,Fruits & Vegetables,4,20,10,0,1,0,2,4,4.8,9.8,0.45,1
Noida,Bakery,6,8,2,1,0,1,5,3,15.8,6.8,0.52,0
Central Delhi,Cooked Meals,2,9,5,0,0,1,2,6,4.9,18.9,0.65,1
West Delhi,Bakery,4,22,5,0,0,0,11,3,13.0,9.0,0.34,0
North Delhi,Packaged Goods,4,22,1,0,0,0,2,5,4.8,8.7,0.58,1
Central Delhi,Cooked Meals,3,6,2,0,0,0,6,6,15.8,7.0,0.76,1
North Delhi,Fruits & Vegetables,6,18,4,1,1,0,10,2,16.4,25.2,0.65,0
Dwarka,Dairy,4,8,3,0,0,1,9,1,2.2,18.0,0.56,1
Central Delhi,Fruits & Vegetables,3,18,12,0,1,0,7,6,7.4,13.0,0.64,1
Central Delhi,Bakery,4,14,1,0,0,0,8,1,17.1,13.8,0.63,0
Central Delhi,Bakery,1,16,7,0,0,0,3,7,10.1,13.7,0.53,0
West Delhi,Packaged Goods,1,10,7,0,0,1,11,6,8.9,7.4,0.31,0
East Delhi,Bakery,5,10,10,1,0,1,5,3,6.6,12.5,0.63,1
East Delhi,Packaged Goods,6,10,11,1,0,1,4,6,2.6,6.3,0.8,0
South Delhi,Bakery,2,10,12,0,0,1,7,7,17.4,18.3,0.71,1
Central Delhi,Packaged Goods,5,14,3,1,0,0,3,3,4.5,6.4,0.74,0
